id,series_id,year,period,value,footnote_codes,original_file
0,CEU5500000007,2016,M13,36.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
1,CEU5500000008,2016,M13,26.11,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
2,CEU5500000030,2016,M13,962.73,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
3,CEU5500000031,2016,M13,411.29,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
4,CEU5500000032,2016,M13,11.15,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
5,CEU5500000034,2016,M13,111.6,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
6,CEU5500000035,2016,M13,179.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
7,CEU5500000081,2016,M13,236997,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
8,CEU5500000082,2016,M13,6189003,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
9,CEU5552200007,2016,M13,37.3,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
10,CEU5552200008,2016,M13,22.37,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
11,CEU5552200030,2016,M13,833.43,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
12,CEU5552200031,2016,M13,356.05,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
13,CEU5552200032,2016,M13,9.56,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
14,CEU5552200034,2016,M13,104.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
15,CEU5552200035,2016,M13,162.5,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
16,CEU5552200081,2016,M13,73459,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
17,CEU5552200082,2016,M13,1643184,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
18,CEU5552210007,2016,M13,37,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
19,CEU5552210008,2016,M13,20.25,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
20,CEU5552210030,2016,M13,749.49,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
21,CEU5552210031,2016,M13,320.19,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
22,CEU5552210032,2016,M13,8.65,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
23,CEU5552210034,2016,M13,101.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
24,CEU5552210035,2016,M13,161.7,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
25,CEU5552210081,2016,M13,46102,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
26,CEU5552210082,2016,M13,933434,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
27,CEU5552211007,2016,M13,37.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
28,CEU5552211008,2016,M13,20.35,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
29,CEU5552211030,2016,M13,754.09,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
30,CEU5552211031,2016,M13,322.16,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
31,CEU5552211032,2016,M13,8.69,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
32,CEU5552211034,2016,M13,106.8,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
33,CEU5552211035,2016,M13,173.2,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
34,CEU5552211081,2016,M13,35082,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
35,CEU5552211082,2016,M13,713870,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
36,CEU5552212007,2016,M13,36.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
37,CEU5552212008,2016,M13,20.53,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
38,CEU5552212030,2016,M13,746.56,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
39,CEU5552212031,2016,M13,318.94,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
40,CEU5552212032,2016,M13,8.77,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
41,CEU5552212034,2016,M13,52.4,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
42,CEU5552212035,2016,M13,79,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
43,CEU5552212081,2016,M13,3299,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
44,CEU5552212082,2016,M13,67744,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
45,CEU5552219007,2016,M13,37.1,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
46,CEU5552219008,2016,M13,19.66,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
47,CEU5552219030,2016,M13,730.09,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
48,CEU5552219031,2016,M13,311.9,NULL,ce.data.55c.FinancialActivities.ProductionEmployeeHoursAndEarnings.csv
